序号, 货物, 爱丽丝的估价, 鲍勃的估价, 查理的估价, 大卫的估价, 艾琳的估价
1, 便携式工具箱,45.25706079463858,64.44580777096115,62.54846179292094,40.66905649555492,37.96867469879518
2, 生存食品包装盒,30.171373863092388,20.25439672801636,26.061859080383726,20.786406653283624,12.656224899598394
3, 一段丝绸布料,165.94255624700813,64.44580777096115,52.12371816076745,81.33811299110984,67.49986613119144
4, 计算机内存条,75.42843465773097,92.06543967280165,52.12371816076745,81.33811299110984,16.87496653279786
5, 电子温度计（实验室级别）,301.7137386309239,285.4028629856851,208.4948726430698,289.2021795239461,253.1244979919679
6, 宠物狗-蝴蝶混种（处于冷冻状态）,271.5423647678315,46.03271983640082,-52.12371816076745,0.0,168.7496653279786
7, 餐具套装,10.559980852082337,5.523926380368098,5.212371816076745,4.518784055061658,5.062489959839358
8, 太空服,301.7137386309239,644.4580777096115,469.1134634469071,497.06624605678235,464.06157965194114
9, 太空蝴蝶结,4.525706079463858,9.206543967280163,3.1274230896460473,3.615027244049326,0.843748326639893
10, 卷起式300英寸平板电视,113.14265198659645,46.03271983640082,93.82269268938141,45.18784055061658,33.74993306559572
11, 餐桌餐具套装,6.0342747726184776,3.6826175869120656,1.042474363215349,0.9037568110123315,2.531244979919679
12, 夏季鞋子,22.62853039731929,4.603271983640082,7.297320542507443,4.518784055061658,8.43748326639893
13, 全息甲板访问钥匙卡,15.085686931546194,101.2719836400818,114.6721799536884,27.112704330369944,33.74993306559572
14, 稀有纸质书籍包装盒,181.02824317855433,73.65235173824131,93.82269268938141,135.56352165184973,143.4372155287818
15, 茅膏菜-南瓜种子,7.542843465773097,2.761963190184049,15.637115448230235,27.112704330369944,84.3748326639893
16, 扫描夸克显微镜,301.7137386309239,736.5235173824132,625.4846179292094,994.1324921135647,843.748326639893
17, 网络视频传输设备,226.2853039731929,46.03271983640082,312.7423089646047,90.37568110123316,84.3748326639893
18, 针织毛衣,30.171373863092388,18.413087934560327,20.84948726430698,18.07513622024663,16.87496653279786
19, 可调谐波长投影仪,7.542843465773097,7.365235173824131,7.297320542507443,18.07513622024663,29.531191432396255
20, 阿尔巴尼亚键盘,13.577118238391574,9.206543967280163,15.637115448230235,1.807513622024663,4.218741633199465
21, 可折叠物业（高税）,75.42843465773097,69.04907975460124,-31.27423089646047,-45.18784055061658,-33.74993306559572
22, 一瓶Melange香料,75.42843465773097,23.01635991820041,99.03506450545815,90.37568110123316,42.18741633199465
23, 自动鸡计数器,30.171373863092388,69.04907975460124,20.84948726430698,63.262976770863204,75.93734939759037
24, 古董iPhone17（良好状态）,301.7137386309239,276.19631901840495,354.4412834932187,112.96960137654143,126.56224899598395
25, 激光剑（损坏）,75.42843465773097,92.06543967280165,229.3443599073768,99.41324921135647,59.06238286479251
26, 高中生纠错工具,301.7137386309239,230.1635991820041,156.37115448230236,361.5027244049326,421.8741633199465
27, 无可疑机械零件,4.525706079463858,27.619631901840492,5.212371816076745,6.326297677086321,4.218741633199465
28, 可疑的机械零件,4.525706079463858,41.42944785276074,52.12371816076745,63.262976770863204,37.96867469879518
29, “我们曾被称为BTS”回忆录（书籍）,105.59980852082336,36.826175869120654,104.2474363215349,9.037568110123315,101.24979919678715
30, 卢克的出生证明,45.25706079463858,4.603271983640082,26.061859080383726,9.037568110123315,4.218741633199465
